,key_0,type,size,age,gender,has_name,spay_neuter,intake_condition,pit_bull,intake_location,adopt_return,adopt_return_predict_proba,latitude,longitude
123,123,DOG,LARGE,6.0,Male,1,1,UNKNOWN,0,SANTA ROSA,0,0.044856198,,
124,124,OTHER,SMALL,,Female,0,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,38.486997,-122.749134
125,125,DOG,SMALL,13.0,Male,1,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.486997,-122.749134
126,126,DOG,MED,,Male,1,0,UNTREATABLE,0,SANTA ROSA,0,0.0069242385,,
127,127,CAT,KITTEN,1.0,Female,0,1,UNKNOWN,0,SONOMA COUNTY,0,0.03825807,38.486997,-122.749134
128,128,DOG,MED,,Female,1,1,UNKNOWN,1,SONOMA COUNTY,0,0.013261708,38.486997,-122.749134
129,129,DOG,MED,2.0,Male,1,0,UNKNOWN,1,SANTA ROSA,0,0.0069242385,38.403734,-122.736775
130,130,DOG,TOY,10.0,Male,1,1,UNTREATABLE,0,SANTA ROSA,0,0.08305065,38.446019,-122.766748
131,131,DOG,SMALL,10.0,Male,0,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,,
132,132,CAT,KITTEN,2.0,Male,1,1,HEALTHY,0,CLOVERDALE,0,0.25200003,38.486997,-122.749134
133,133,DOG,MED,,Female,1,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.790859,-123.010876
134,134,DOG,MED,12.0,Female,1,1,HEALTHY,1,SONOMA COUNTY,0,0.0422925,38.314417,-122.656863
135,135,DOG,SMALL,10.0,Male,1,1,UNKNOWN,0,SANTA ROSA,0,0.041142374,38.458384,-122.675588
136,136,DOG,SMALL,3.0,Male,0,1,HEALTHY,1,SANTA ROSA,0,0.09006833,38.458965,-122.630156
137,137,DOG,LARGE,,Female,1,0,UNKNOWN,1,SONOMA COUNTY,0,0.0069242385,39.150868,-123.215335
138,138,DOG,SMALL,15.0,Female,1,0,HEALTHY,0,SONOMA COUNTY,0,0.0069242385,,
139,139,DOG,LARGE,7.0,Male,1,1,UNKNOWN,0,SONOMA COUNTY,0,0.03407846,38.236012,-122.730241
140,140,DOG,SMALL,13.0,Male,1,1,TREATABLE/REHAB,0,SANTA ROSA,0,0.018737704,38.403734,-122.736775
141,141,DOG,MED,2.0,Male,0,1,HEALTHY,0,SANTA ROSA,0,0.0784168,38.439152,-122.672541
142,142,DOG,MED,6.0,Male,1,0,HEALTHY,1,SANTA ROSA,0,0.0069242385,38.403734,-122.736775
143,143,DOG,MED,,Female,1,1,HEALTHY,0,SONOMA COUNTY,0,0.013261708,38.280393,-122.464588
144,144,DOG,LARGE,15.0,Male,1,0,HEALTHY,0,SANTA ROSA,0,0.0069242385,38.486997,-122.749134
145,145,DOG,SMALL,8.0,Female,1,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,38.962754,-122.634743
146,146,DOG,MED,,Male,1,0,HEALTHY,0,SONOMA COUNTY,0,0.0069242385,38.510032,-122.996796
147,147,DOG,MED,7.0,Female,1,1,TREATABLE/MANAGEABLE,0,SANTA ROSA,0,0.24919318,38.962754,-122.634743
